Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 May, 2026","Price on 15 May, 2026","Price on 14 May, 2026","Arrival on 16 May, 2026","Arrival on 15 May, 2026","Arrival on 14 May, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775,2121.32,2172,2083.55,1156.42,1264.46,1527.69
Cereals,Barley(Jau),2150,2116.29,2180.53,2206,367.21,638.45,872.83
Cereals,Jowar(Sorghum),3699,4582.13,3944.37,4660.92,301.11,376.26,227.17
Cereals,Maize,2400,1872.41,1870.59,1864.2,13523.56,18145.28,16267.55
Cereals,Paddy(Common),2369,2303.75,2428.19,2391.21,10548.98,14304.43,13112.02
Cereals,Ragi(Finger Millet),4886,3677.16,4398.92,3710.45,32.4,27.9,117.3
Cereals,Wheat,2585,2457.66,2464.93,2468.77,78653.96,126740.33,134931.16
Fibre Crops,Cotton,7710,8600.82,9105.01,9136.04,821.86,1485.1,1443.12
Oil Seeds,Copra,12100,22380.12,20377.86,24857.36,50.8,38.85,58.3
Oil Seeds,Groundnut,7263,6870.5,7640.72,7341.52,1113.47,1668.74,1527.1
Oil Seeds,Mustard,6200,6792.61,6802.8,6768.12,5553.52,6928.29,7501.96
Oil Seeds,Niger Seed(Ramtil),9537,-,-,9700,-,-,11.9
Oil Seeds,Safflower,6540,4925,5147.47,5304,12.9,32.46,1.5
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846,12475.89,12805.53,11761.37,1337.42,1039.58,1022
Oil Seeds,Soyabean,5328,6700.45,6544.19,7129.04,2252.97,8993.83,6400.64
Oil Seeds,Sunflower/Sunflower Seed,7721,-,6695.35,7032.6,-,26.2,274.78
Pulses,Bengal Gram(Gram)(Whole),5875,5365.42,5476.58,5501.02,8537.17,6500.26,6356.87
Pulses,Black Gram(Urd Beans)(Whole),7800,7851.88,7739.2,7831.74,1204.23,1457.32,879.62
Pulses,Green Gram(Moong)(Whole),8768,7799.62,7699.06,7908.93,1615.7,2473.03,2190.64
Pulses,Lentil(Masur)(Whole),7000,7779.42,7017.89,7187.14,480.81,1426.5,1512.39
Pulses,Red gram/Arhar/Tur(whole),8000,7691.61,7547.87,7418.01,1447.27,2214.12,2361.19
Vegetables,Onion,-,1226.83,1196.56,1241.73,13762.75,13210.99,15360.63
Vegetables,Potato,-,602.98,644.39,634.45,23243.16,24451.76,23487.03
Vegetables,Tomato,-,1822.61,1855,1726.95,6212.01,6284.72,5379.75
